Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
3,Hamza Abdelkarim,FW,Egypt,18,2008,0.7,0,0,0,,0.0,0.0,,,0,0,Matches,057d8f12
17,Ché Adams,FW,Scotland,29,1996,1.6,0,1,1,100.0,0.62,0.62,0.0,0.0,0,0,Matches,f2bf1b0f
442,Cedric Itten,FWMF,Switzerland,29,1996,0.5,0,0,0,,0.0,0.0,,,0,0,Matches,ef233486
520,Cyle Larin,FW,Canada,31,1995,2.1,2,9,4,44.4,4.26,1.89,0.22,0.5,0,0,Matches,e7af9060
592,Nathanaël Mbuku,MFFW,Congo DR,24,2002,1.6,0,3,2,66.7,1.89,1.26,0.0,0.0,0,0,Matches,46750e9c
482,Joris Kayembe,DFFW,Congo DR,31,1994,0.5,0,1,0,0.0,2.0,0.0,0.0,,0,0,Matches,4657faba
801,Cristiano Ronaldo,FW,Portugal,41,1985,4.9,3,18,9,50.0,3.68,1.84,0.17,0.33,1,1,Matches,dea698d9
839,Andreas Schjelderup,FW,Norway,22,2004,2.8,1,3,2,66.7,1.07,0.71,0.33,0.5,0,0,Matches,a427724f
443,Nicolas Jackson,FW,Senegal,24,2001,2.6,0,7,3,42.9,2.69,1.15,0.0,0.0,0,0,Matches,9c36ed83
25,Akram Afif,FWMF,Qatar,29,1996,2.6,0,2,0,0.0,0.76,0.0,0.0,,0,0,Matches,fd53d9e7
1010,Haji Wright,FWMF,USA,28,1998,0.0,0,0,0,,0.0,0.0,,,0,0,Matches,91cd37b7
670,Gustaf Nilsson,FW,Sweden,29,1997,0.0,0,1,0,0.0,45.0,0.0,0.0,,0,0,Matches,a7d48b00
863,Lawrence Shankland,FW,Scotland,30,1995,1.9,0,4,0,0.0,2.11,0.0,0.0,,0,0,Matches,63b1a176
751,Ahmed Qasem,MFFW,Iraq,22,2003,1.4,0,0,0,,0.0,0.0,,,0,0,Matches,27219ecb
158,Ante Budimir,FW,Croatia,34,1991,1.7,1,3,1,33.3,1.74,0.58,0.33,1.0,0,0,Matches,8f3565b3
284,Julio Enciso,FW,Paraguay,22,2004,4.3,1,8,1,12.5,1.87,0.23,0.13,1.0,0,0,Matches,9cfbad36
759,Soufiane Rahimi,FW,Morocco,30,1996,1.8,2,6,4,66.7,3.31,2.21,0.33,0.5,0,0,Matches,f126a259
1001,Iñaki Williams,MFFW,Ghana,31,1994,1.4,0,3,0,0.0,2.14,0.0,0.0,,0,0,Matches,6a99e0b1
1023,Ali Yousif,FW,Iraq,30,1996,0.4,0,0,0,,0.0,0.0,,,0,0,Matches,943fd50a
983,Denis Višinský,FW,Czechia,23,2003,0.6,0,3,0,0.0,4.91,0.0,0.0,,0,0,Matches,d5aac0e9
582,Jean-Philippe Mateta,FW,France,28,1997,0.3,0,3,1,33.3,11.25,3.75,0.0,0.0,0,0,Matches,50e6dc35
660,Jayden Nelson,FWMF,Canada,23,2002,0.0,0,1,0,0.0,22.5,0.0,0.0,,0,0,Matches,92305a81
436,Jamshid Iskanderov,FWMF,Uzbekistan,32,1993,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,3b8abe7c
952,Leandro Trossard,MFFW,Belgium,31,1994,5.6,2,17,3,17.6,3.02,0.53,0.12,0.67,0,0,Matches,38ceb24a
1009,Chris Wood,FW,New Zealand,34,1991,3.0,0,5,2,40.0,1.67,0.67,0.0,0.0,0,0,Matches,4e9a0555
998,Wout Weghorst,FW,Netherlands,33,1992,0.6,0,0,0,,0.0,0.0,,,0,0,Matches,c4e87b8b
101,Cédric Bakambu,FW,Congo DR,35,1991,2.1,0,3,0,0.0,1.42,0.0,0.0,,0,0,Matches,0af4dcf0
154,Brian Brobbey,FW,Netherlands,24,2002,2.5,3,4,3,75.0,1.61,1.21,0.75,1.0,0,0,Matches,4c184730
309,Matias Fernandez-Pardo,FWMF,Belgium,21,2005,0.5,0,3,0,0.0,6.14,0.0,0.0,,0,0,Matches,0cdb6a2a
454,Raúl Jiménez,FW,Mexico,35,1991,3.5,3,18,7,38.9,5.11,1.99,0.17,0.43,1,1,Matches,b561db50
83,Marko Arnautović,FW,Austria,37,1989,1.6,2,3,3,100.0,1.87,1.87,0.67,0.67,1,1,Matches,00459419
256,Ismael Díaz,FWMF,Panama,29,1997,0.4,0,6,2,33.3,14.59,4.86,0.0,0.0,0,0,Matches,f2a276d1
609,Ryan Mendes,FWMF,Cabo Verde,36,1990,3.7,0,6,0,0.0,1.64,0.0,0.0,,0,0,Matches,ba6e01ab
564,Sadio Mané,MFFW,Senegal,34,1992,4.0,0,6,3,50.0,1.49,0.75,0.0,0.0,0,0,Matches,c691bfe2
289,Derrick Etienne,FWMF,Haiti,29,1996,0.1,0,0,0,,0.0,0.0,,,0,0,Matches,59059f1e
