Player,Squad,Pos,90s,TklW,Primary_Pos,TklW_per_90,Tactical_Role
Hamza Abdelkarim,eg Egypt,FW,0.7,0,FW,0.0,Attacking
Oussama Benbot,dz Algeria,GK,1.0,0,GK,0.0,Defensive
Lee Tae-seok,kr Korea Republic,MF,1.3,3,MF,2.3076923076923075,Attacking
Dodi Lukebakio,be Belgium,MF,1.8,1,MF,0.5555555555555556,Attacking
Uğurcan Çakır,tr Türkiye,GK,3.0,0,GK,0.0,Defensive
Alexander Isak,se Sweden,FW,4.0,2,FW,0.5,Attacking
Nicolás De La Cruz,uy Uruguay,MF,1.0,1,MF,1.0,Attacking
Leo Østigård,no Norway,DF,1.6,3,DF,1.875,Defensive
Gilson Benchimol,cv Cabo Verde,FW,0.9,0,FW,0.0,Attacking
Iñaki Williams,gh Ghana,MFFW,1.4,0,MF,0.0,Attacking
Nicolas Pépé,ci Côte d'Ivoire,FW,2.6,0,FW,0.0,Attacking
Leandro Trossard,be Belgium,MFFW,5.6,1,MF,0.17857142857142858,Attacking
Julián Quiñones,mx Mexico,FWMF,4.6,0,FW,0.0,Attacking
Arjan Malic,ba Bosnia–Herz,DF,0.5,0,DF,0.0,Defensive
John Stones,eng England,DF,3.7,0,DF,0.0,Defensive
Mahmoud Al-Mardi,jo Jordan,MF,1.4,1,MF,0.7142857142857143,Attacking
Arda Güler,tr Türkiye,MF,3.0,3,MF,1.0,Attacking
Alisson,br Brazil,GK,5.0,0,GK,0.0,Defensive
Renato Veiga,pt Portugal,DF,5.0,1,DF,0.2,Defensive
Diego Moreira,be Belgium,MF,0.6,1,MF,1.6666666666666667,Attacking
Mohammad Abu Hasheesh,jo Jordan,DF,0.1,2,DF,20.0,Defensive
Tani Oluwaseyi,ca Canada,FW,2.9,3,FW,1.0344827586206897,Attacking
Wilfried Singo,ci Côte d'Ivoire,DF,1.9,0,DF,0.0,Defensive
Zaid Ismail,iq Iraq,MF,1.3,4,MF,3.0769230769230766,Attacking
Mohammed Abu Al-Shamat,sa Saudi Arabia,MF,1.5,3,MF,2.0,Attacking
Ryan Christie,sct Scotland,MF,1.1,3,MF,2.727272727272727,Attacking
Álvaro Fidalgo,mx Mexico,MF,1.1,0,MF,0.0,Attacking
Igor Thiago,br Brazil,FW,0.7,1,FW,1.4285714285714286,Attacking
Brandon Mechele,be Belgium,DF,6.3,4,DF,0.6349206349206349,Defensive
Tyrese Noslin,cw Curaçao,MF,0.2,0,MF,0.0,Attacking
Evann Guessand,ci Côte d'Ivoire,FWMF,0.2,0,FW,0.0,Attacking
Keisuke Gotō,jp Japan,FW,0.1,1,FW,10.0,Attacking
Lucas Digne,fr France,DF,5.1,3,DF,0.5882352941176471,Defensive
Johan Mojica,co Colombia,DF,4.3,3,DF,0.6976744186046512,Defensive
Jean-Ricner Bellegarde,ht Haiti,MF,2.9,2,MF,0.6896551724137931,Attacking
Sarpreet Singh,nz New Zealand,MF,2.3,1,MF,0.4347826086956522,Attacking
Thapelo Maseko,za South Africa,MFFW,2.7,1,MF,0.37037037037037035,Attacking
Dominique Simon,ht Haiti,MF,0.6,1,MF,1.6666666666666667,Attacking
Nathanaël Mbuku,cd Congo DR,MFFW,1.6,3,MF,1.875,Attacking
Luca Zidane,dz Algeria,GK,3.0,0,GK,0.0,Defensive
