Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999,Rk_misc,Pos_misc,Age_misc,Born_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches_misc,-9999_misc,fouls_per_90,start_ratio,group
2,Thelo Aasgaard,MF,no Norway,24,1.sct Rangers,2002,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,c88a28b9,2,MF,24,2002,1.0,0,0,0,0,3,0,0,3,1,,,0,Matches,c88a28b9,0.0,1.0,Starter
6,Ali Abdi,DF,tn Tunisia,32,1.fr Nice,1993,3,3,269,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad7cdb35,6,DF,32,1993,3.0,0,0,0,4,1,0,4,4,8,,,0,Matches,ad7cdb35,1.3333333333333333,1.0,Starter
7,Saud Abdulhamid,DF,sa Saudi Arabia,26,1.fr Lens,1999,3,3,269,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,caa254e4,7,DF,26,1999,3.0,1,0,0,4,2,0,5,2,9,,,0,Matches,caa254e4,1.3333333333333333,1.0,Starter
8,Abdulla Abdullaev,DF,uz Uzbekistan,28,1.ae Dibba Al Fujairah,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,03053fbf,8,DF,28,1997,2.0,0,0,0,5,1,0,0,3,2,,,0,Matches,03053fbf,2.5,1.0,Starter
9,Yusuf Abdurisag,FW,qa Qatar,26,1.qa Al-Wakrah,1999,2,2,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13c8f40b,9,FW,26,1999,1.1,0,0,0,1,2,0,0,1,2,,,0,Matches,13c8f40b,0.9090909090909091,1.0,Starter
10,Husam Abu Dahab,DF,jo Jordan,26,1.kw Al-Salmiya SC,2000,2,2,178,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,300aaeb6,10,DF,26,2000,2.0,1,0,0,2,1,0,0,0,3,,,0,Matches,300aaeb6,1.0,1.0,Starter
12,Mohannad Abu Taha,DF,jo Jordan,23,1.iq Al-Quwa Al-Jawiya,2003,3,3,264,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5c4bac6c,12,DF,23,2003,2.9,1,0,0,2,1,0,5,6,2,,,0,Matches,5c4bac6c,0.6896551724137931,1.0,Starter
14,Yazeed Abulaila,GK,jo Jordan,33,1.jo Al-Hussein SC,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5d11fc17,14,GK,33,1993,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,5d11fc17,0.0,1.0,Starter
15,Mahmoud Abunada,GK,qa Qatar,26,1.qa Al Rayyan SC,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,27e7e545,15,GK,26,2000,3.0,1,0,0,1,1,0,0,0,0,,,1,Matches,27e7e545,0.3333333333333333,1.0,Starter
17,Ché Adams,FW,sct Scotland,29,1.it Torino,1996,3,2,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f2bf1b0f,17,FW,29,1996,1.6,0,0,0,4,2,0,0,0,1,,,0,Matches,f2bf1b0f,2.5,0.6666666666666666,Starter
18,Jayden Adams,MF,za South Africa,25,1.za Sundowns,2001,3,2,116,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,259affab,18,MF,25,2001,1.3,0,0,0,0,0,0,0,2,0,,,0,Matches,259affab,0.0,0.6666666666666666,Starter
19,Tyler Adams,MF,us USA,27,1.eng Bournemouth,1999,4,4,341,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2b09d998,19,MF,27,1999,3.8,1,0,0,5,6,0,0,8,5,,,0,Matches,2b09d998,1.3157894736842106,1.0,Starter
20,Ricardo Adé,DF,ht Haiti,36,1.ec LDU Quito,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9ee5e81,20,DF,36,1990,3.0,0,0,0,6,4,0,1,5,2,,,0,Matches,a9ee5e81,2.0,1.0,Starter
23,Jonas Adjetey,DF,gh Ghana,22,1.de Wolfsburg,2003,3,3,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bdbf78cd,23,DF,22,2003,2.5,0,0,0,1,0,0,0,1,3,,,0,Matches,bdbf78cd,0.4,1.0,Starter
24,Michel Aebischer,MFFW,ch Switzerland,29,1.it Pisa,1997,4,2,156,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f9c927de,24,MFFW,29,1997,1.7,0,0,0,3,2,0,6,0,1,,,0,Matches,f9c927de,1.7647058823529411,0.5,Starter
25,Akram Afif,FWMF,qa Qatar,29,1.qa Al Sadd,1996,3,3,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd53d9e7,25,FWMF,29,1996,2.6,0,0,0,0,4,2,11,0,1,,,0,Matches,fd53d9e7,0.0,1.0,Starter
26,Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1.tr Beşiktaş,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,75f1ed80,26,DF,28,1997,3.0,0,0,0,0,0,0,0,4,6,,,0,Matches,75f1ed80,0.0,1.0,Starter
28,Ali Ahmed,MF,ca Canada,25,2.eng Norwich City,2000,4,3,234,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,540a5be1,28,MF,25,2000,2.6,0,0,0,1,5,0,13,3,2,,,0,Matches,540a5be1,0.3846153846153846,0.75,Starter
29,Homam Ahmed,DF,qa Qatar,26,2.es Cultural Leonesa,1999,2,2,122,1.4,0,1,1,0,0,0,0,1,0.00,0.74,0.74,0.00,0.74,Matches,a62fa158,29,DF,26,1999,1.4,0,1,0,4,0,0,3,3,1,,,0,Matches,a62fa158,2.857142857142857,1.0,Starter
30,Rayan Aït-Nouri,DF,dz Algeria,25,1.eng Manchester City,2001,4,3,284,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9b398aea,30,DF,25,2001,3.2,0,0,0,6,4,0,8,5,13,,,0,Matches,9b398aea,1.875,0.75,Starter
31,Kristoffer Ajer,DF,no Norway,28,1.eng Brentford,1998,5,5,480,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a8c0acb7,31,DF,28,1998,5.3,1,0,0,2,1,0,1,4,8,,,0,Matches,a8c0acb7,0.37735849056603776,1.0,Starter
32,Manuel Akanji,DF,ch Switzerland,30,1.it Inter,1995,6,6,600,6.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89ac64a6,32,DF,30,1995,6.7,0,0,0,4,4,0,0,6,9,,,0,Matches,89ac64a6,0.5970149253731343,1.0,Starter
33,Nathan Aké,DF,nl Netherlands,31,1.eng Manchester City,1995,3,2,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eaeca114,33,DF,31,1995,1.9,0,0,0,2,2,0,1,4,0,,,0,Matches,eaeca114,1.0526315789473684,0.6666666666666666,Starter
34,Yunus Akgün,MF,tr Türkiye,25,1.tr Galatasaray,2000,2,1,88,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1453e3cf,34,MF,25,2000,1.0,1,0,0,2,1,0,2,0,0,,,0,Matches,1453e3cf,2.0,0.5,Starter
36,Kerem Aktürkoğlu,FW,tr Türkiye,27,1.tr Fenerbahçe,1998,2,2,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f28659fb,36,FW,27,1998,1.4,0,0,0,0,2,0,1,0,1,,,0,Matches,f28659fb,0.0,1.0,Starter
38,David Alaba,DF,at Austria,33,1.es Real Madrid,1992,4,4,275,3.1,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,05439de2,38,DF,33,1992,3.1,0,0,0,2,0,0,1,4,1,,,0,Matches,05439de2,0.6451612903225806,1.0,Starter
39,Kerim Alajbegović,MF,ba Bosnia–Herz,18,1.at RB Salzburg,2007,4,3,277,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches,f3d9291e,39,MF,18,2007,3.1,0,0,0,4,6,1,15,2,0,,,0,Matches,f3d9291e,1.2903225806451613,0.75,Starter
41,Omar Alderete,DF,py Paraguay,29,1.eng Sunderland,1996,4,4,320,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bb08bce9,41,DF,29,1996,3.6,0,0,0,2,3,0,0,2,0,,,0,Matches,bb08bce9,0.5555555555555556,1.0,Starter
43,Hussein Ali,DF,iq Iraq,24,1.pl Pogoń Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8a919ad,43,DF,24,2002,1.8,0,0,0,1,0,1,1,2,2,,,0,Matches,b8a919ad,0.5555555555555556,1.0,Starter
46,Khojiakbar Alijonov,MF,uz Uzbekistan,29,1.uz Pakhtakor Tashkent FK,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e53cbd7a,46,MF,29,1997,1.5,0,0,0,2,1,0,5,5,2,,,0,Matches,e53cbd7a,1.3333333333333333,0.5,Starter
48,Alisson,GK,br Brazil,33,1.eng Liverpool,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7a2e46a8,48,GK,33,1992,5.0,0,0,0,0,0,0,0,0,0,,,0,Matches,7a2e46a8,0.0,1.0,Starter
49,Thiago Almada,MF,ar Argentina,25,1.es Atlético Madrid,2001,5,3,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,27f33438,49,MF,25,2001,2.7,1,0,0,2,2,2,1,0,4,,,0,Matches,27f33438,0.7407407407407407,0.6,Starter
50,Miguel Almirón,MFFW,py Paraguay,32,1.us Atlanta Utd,1994,4,4,282,3.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,862a1c15,50,MFFW,32,1994,3.1,1,1,0,2,7,0,4,3,7,,,0,Matches,862a1c15,0.6451612903225806,1.0,Starter
51,Júnior Alonso,DF,py Paraguay,33,1.br Atlético Mineiro,1993,5,4,390,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b18a3023,51,DF,33,1993,4.3,1,0,0,3,3,1,2,4,9,,,0,Matches,b18a3023,0.6976744186046512,0.8,Starter
52,Barış Alper Yılmaz,MFFW,tr Türkiye,26,1.tr Galatasaray,2000,3,2,179,2.0,1,1,2,1,0,0,0,0,0.50,0.50,1.01,0.50,1.01,Matches,414b2ce4,52,MFFW,26,2000,2.0,0,0,0,4,1,2,15,0,0,,,0,Matches,414b2ce4,2.0,0.6666666666666666,Starter
53,Roberto Alvarado,FWMF,mx Mexico,27,1.mx Guadalajara,1998,5,5,428,4.8,0,3,3,0,0,0,0,0,0.00,0.63,0.63,0.00,0.63,Matches,ff871e14,53,FWMF,27,1998,4.8,0,0,0,3,5,1,36,2,3,,,0,Matches,ff871e14,0.625,1.0,Starter
54,Edson Álvarez,MFDF,mx Mexico,28,1.eng West Ham,1997,4,2,240,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8b3ab7ad,54,MFDF,28,1997,2.7,1,0,0,5,2,0,1,3,6,,,0,Matches,8b3ab7ad,1.8518518518518516,0.5,Starter
55,Julián Álvarez,FW,ar Argentina,26,1.es Atlético Madrid,2000,8,5,602,6.7,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,15ab5a2b,55,FW,26,2000,6.7,0,0,0,11,4,2,2,3,4,,,0,Matches,15ab5a2b,1.6417910447761193,0.625,Starter
58,Michael Amir Murillo,DFMF,pa Panama,30,1.tr Beşiktaş,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,349cae8f,58,DFMF,30,1996,3.0,0,0,0,1,7,1,8,1,3,,,0,Matches,349cae8f,0.3333333333333333,1.0,Starter
60,Amir Al Ammari,MF,iq Iraq,28,1.pl Cracovia,1997,3,3,247,2.7,0,1,1,0,0,0,2,0,0.00,0.36,0.36,0.00,0.36,Matches,9f65be73,60,MF,28,1997,2.7,2,0,0,3,0,0,8,2,1,,,0,Matches,9f65be73,1.111111111111111,1.0,Starter
63,Sofyan Amrabat,MF,ma Morocco,29,1.es Real Betis,1996,3,1,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a2cb25d,63,MF,29,1996,1.6,0,0,0,4,2,0,0,2,1,,,0,Matches,5a2cb25d,2.5,0.3333333333333333,Non-Starter
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29,,1997,3,3,239,2.7,1,0,1,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38,Matches,fd0affe3,64,DF,29,1997,2.7,1,0,0,1,0,0,1,4,2,,,0,Matches,fd0affe3,0.37037037037037035,1.0,Starter
66,Elliot Anderson,MF,eng England,23,1.eng Nottingham,2002,8,7,632,7.0,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,de31038e,66,MF,23,2002,7.0,1,0,0,9,13,0,8,8,18,,,0,Matches,de31038e,1.2857142857142858,0.875,Starter
67,Andrés Andrade Cedeño,DF,pa Panama,27,1.at LASK,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6ea23758,67,DF,27,1998,3.0,1,0,0,4,0,0,8,3,3,,,0,Matches,6ea23758,1.3333333333333333,1.0,Starter
69,Nilson Angulo,MF,ec Ecuador,22,1.eng Sunderland,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches,a9b9d89c,69,MF,22,2003,2.4,0,0,0,4,3,0,5,2,1,,,0,Matches,a9b9d89c,1.6666666666666667,0.5,Starter
72,Houssem Aouar,MF,dz Algeria,27,1.sa Al-Ittihad,1998,3,2,173,1.9,0,2,2,0,0,0,0,0,0.00,1.04,1.04,0.00,1.04,Matches,a5db0bec,72,MF,27,1998,1.9,0,0,0,1,2,0,0,0,1,,,0,Matches,a5db0bec,0.5263157894736842,0.6666666666666666,Starter
73,Oswin Appollis,MFFW,za South Africa,24,1.za Orlando Pirates,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8933eb0,73,MFFW,24,2001,2.8,0,0,0,1,2,0,8,1,3,,,0,Matches,e8933eb0,0.35714285714285715,0.75,Starter
74,Yazan Al-Arab,DF,jo Jordan,30,1.kr FC Seoul,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,32878a09,74,DF,30,1996,3.0,1,0,0,4,0,0,0,11,1,,,1,Matches,32878a09,1.3333333333333333,1.0,Starter
75,Maxi Araújo,FWMF,uy Uruguay,26,1.pt Sporting CP,2000,3,3,250,2.8,2,1,3,2,0,0,0,0,0.72,0.36,1.08,0.72,1.08,Matches,f9ab3f4a,75,FWMF,26,2000,2.8,0,0,0,2,7,6,18,0,0,,,0,Matches,f9ab3f4a,0.7142857142857143,1.0,Starter
76,Tomás Araújo,DF,pt Portugal,24,1.pt Benfica,2002,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0fa11d7d,76,DF,24,2002,1.0,1,0,0,1,0,0,0,1,0,,,0,Matches,0fa11d7d,1.0,1.0,Starter
79,Carlens Arcus,MFDF,ht Haiti,29,1.fr Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5e837126,79,MFDF,29,1996,1.6,1,0,0,5,3,2,2,3,3,,,0,Matches,5e837126,3.125,0.6666666666666666,Starter
