Squad,Poss,SoT%,Possession_Style
South Africa,48.0,28.2,Low/Mid Possession (<=55%)
Jordan,30.7,37.5,Low/Mid Possession (<=55%)
Korea Republic,63.0,34.4,High Possession (>55%)
Türkiye,66.3,22.5,High Possession (>55%)
Qatar,33.0,38.9,Low/Mid Possession (<=55%)
Sweden,46.3,47.9,Low/Mid Possession (<=55%)
Belgium,51.2,30.4,Low/Mid Possession (<=55%)
Croatia,49.8,45.9,Low/Mid Possession (<=55%)
Canada,54.4,38.8,Low/Mid Possession (<=55%)
Austria,45.0,25.0,Low/Mid Possession (<=55%)
Brazil,53.0,40.5,Low/Mid Possession (<=55%)
Japan,46.3,38.2,Low/Mid Possession (<=55%)
Panama,45.7,21.9,Low/Mid Possession (<=55%)
Germany,65.0,37.8,High Possession (>55%)
eng England,54.1,44.9,Low/Mid Possession (<=55%)
Curaçao,32.3,24.1,Low/Mid Possession (<=55%)
Tunisia,39.3,33.3,Low/Mid Possession (<=55%)
Ecuador,55.8,37.7,High Possession (>55%)
Colombia,57.8,31.9,High Possession (>55%)
Egypt,51.4,26.9,Low/Mid Possession (<=55%)
sct Scotland,44.3,24.1,Low/Mid Possession (<=55%)
Norway,52.2,43.9,Low/Mid Possession (<=55%)
Mexico,52.2,30.0,Low/Mid Possession (<=55%)
Algeria,61.0,34.1,High Possession (>55%)
New Zealand,47.0,48.4,Low/Mid Possession (<=55%)
Netherlands,53.3,47.8,Low/Mid Possession (<=55%)
Bosnia–Herz,46.0,37.8,Low/Mid Possession (<=55%)
Côte d'Ivoire,49.8,31.1,Low/Mid Possession (<=55%)
Paraguay,30.0,22.9,Low/Mid Possession (<=55%)
Argentina,57.6,38.6,High Possession (>55%)
Spain,64.1,38.6,High Possession (>55%)
Haiti,42.7,22.6,Low/Mid Possession (<=55%)
Australia,41.0,28.6,Low/Mid Possession (<=55%)
Portugal,58.4,27.4,High Possession (>55%)
Iraq,38.3,9.5,Low/Mid Possession (<=55%)
Saudi Arabia,38.3,41.2,Low/Mid Possession (<=55%)
Congo DR,40.0,22.0,Low/Mid Possession (<=55%)
IR Iran,39.0,29.7,Low/Mid Possession (<=55%)
France,55.9,42.4,High Possession (>55%)
Uruguay,55.0,26.5,Low/Mid Possession (<=55%)
